"public_essay_id","split","language","rater_score","rater_cefr_level","rater_pass_fail","automarker_score","automarker_confidence","automarker_cefr_level","automarker_pass_fail"
"essay_2ac79369bc34c7fe","test","Spanish",6,"B1","pass",7.06338548660278,0.925097167491913,"B2","pass"
"essay_1ae91fb5254845e4","test","Romanian",8,"B2","pass",7.53347969055176,0.999734938144684,"B2","pass"
"essay_d852da7006567a74","test","Hindi",7,"B2","pass",7.11668825149536,0.9051833152771,"B2","pass"
"essay_e08e377ad3af66e5","test","Vietnamese",6,"B1","pass",5.96997261047363,0.999990940093994,"B1","pass"
"essay_a3a0b1389dc5f6ef","test","Hindi",9,"C1","pass",8.42466354370117,0.999905347824097,"B2","pass"
"essay_67c35c9f24f8a6da","test","Spanish",7,"B2","pass",7.23455905914307,0.997681021690369,"B2","pass"
"essay_15f1a06fac2984a5","test","Italian",7,"B2","pass",6.84707736968994,0.774117171764374,"B2","pass"
"essay_175f8aea421dbe78","test","Persian",7,"B2","pass",7.35282802581787,0.993052244186401,"B2","pass"
"essay_83b26d135a1b746a","test","Hindi",5,"B1","pass",4.79593849182129,0.983819961547852,"B1","pass"
"essay_78cee07d8fec63d8","test","Vietnamese",3,"A2","fail",3.72765111923218,0.996536135673523,"A2","fail"
"essay_2432469353401034","test","French",7,"B2","pass",5.86135292053223,0.822978138923645,"B1","pass"
"essay_1ccded3c758c0e58","test","Dutch",6,"B1","pass",7.10655784606934,0.999512672424316,"B2","pass"
"essay_0bbc2280cee97411","test","Chinese",6,"B1","pass",6.28970718383789,0.745718955993652,"B1","pass"
"essay_a2d94fd2784d58ea","test","Portuguese",5,"B1","pass",5.35164642333984,0.996671259403229,"B1","pass"
"essay_c4e60bef6351f456","test","Romanian",7,"B2","pass",7.6501293182373,0.997113108634949,"B2","pass"
"essay_668c24b614d89b33","test","Hindi",10,"C1","pass",9.82157802581787,3.60266483312444e-10,"C1","pass"
"essay_18e6f08940f0713a","test","Portuguese",6,"B1","pass",5.32426261901855,0.999019861221313,"B1","pass"
"essay_66c54799c11fc48a","test","Chinese",8,"B2","pass",8.09008312225342,0.999908804893494,"B2","pass"
"essay_3c370e8bb543d3d6","test","Spanish",7,"B2","pass",7.00977468490601,0.78207403421402,"B2","pass"
"essay_f332c83aea8096ad","test","Japanese",3,"A2","fail",4.75600814819336,0.982122659683228,"B1","pass"
"essay_e1dc2816cdbf085c","test","Vietnamese",7,"B2","pass",6.84620380401611,0.277242988348007,"B2","pass"
"essay_6393840154730b49","test","Hindi",7,"B2","pass",7.27980899810791,0.98903626203537,"B2","pass"
"essay_b75c2126c156b2c0","test","Turkish",6,"B1","pass",7.28891038894653,0.975485801696777,"B2","pass"
"essay_8bd9e6930d54ea90","test","Spanish",8,"B2","pass",7.8483943939209,0.996776640415192,"B2","pass"
"essay_8f089f1529aebf5d","test","Italian",10,"C1","pass",10.7248973846436,3.34704902682503e-11,"C2","pass"
"essay_b48d86bb74224762","test","Portuguese",4,"A2","fail",5.50817632675171,0.988601505756378,"B1","pass"
"essay_1e756e5b73645a02","test","Chinese",4,"A2","fail",4.00446224212646,0.999549806118011,"A2","fail"
"essay_8b0ce133e44dc7e7","test","Spanish",6,"B1","pass",7.41597366333008,0.998738825321198,"B2","pass"
"essay_053e8df965910efa","test","Italian",7,"B2","pass",6.91410112380981,0.222247496247292,"B2","pass"
"essay_f72543847e85b2a1","test","Chinese",6,"B1","pass",6.02035140991211,0.999125778675079,"B1","pass"
"essay_18db5febf49da059","test","Japanese",6,"B1","pass",5.82396125793457,0.999758064746857,"B1","pass"
"essay_042cf907413bdd9a","test","Italian",6,"B1","pass",6.40786552429199,0.982129275798798,"B1","pass"
"essay_868a0f69a3d7a496","test","Polish",7,"B2","pass",7.4810152053833,0.999601781368256,"B2","pass"
"essay_5494dec08e5392a0","test","Italian",10,"C1","pass",7.96042251586914,0.999305725097656,"B2","pass"
"essay_4dce66f159ec97a0","test","Portuguese",5,"B1","pass",6.46347713470459,0.997451364994049,"B1","pass"
"essay_f6af332c70e2a065","test","Polish",7,"B2","pass",6.66522312164307,0.739428758621216,"B2","pass"
"essay_0dbce38ecce44008","test","Japanese",4,"A2","fail",4.32829427719116,0.982215881347656,"A2","fail"
"essay_8d3a20376aa21f92","test","Romanian",11,"C2","pass",10.8758182525635,7.36752239077765e-12,"C2","pass"
"essay_7a3ba11b084b40ce","test","Romanian",7,"B2","pass",6.58545827865601,0.0257283169776201,"B2","pass"
"essay_c3247f1d4c634f39","test","Hindi",7,"B2","pass",6.73752069473267,0.187518492341042,"B2","pass"
"essay_d52b98ea9a7f8fa6","test","Spanish",8,"B2","pass",7.27473831176758,0.950250148773193,"B2","pass"
"essay_668170c82d09a734","test","Japanese",4,"A2","fail",4.67953109741211,0.92166531085968,"B1","pass"
"essay_43c371a3dfb90062","test","Arabic",6,"B1","pass",5.87438297271729,0.999986886978149,"B1","pass"
"essay_60712b950bd7e119","test","German",11,"C2","pass",10.171573638916,9.46810338464665e-11,"C1","pass"
"essay_218fd34faabdeb37","test","Spanish",7,"B2","pass",7.16178798675537,0.966503977775574,"B2","pass"
"essay_c89244213fef562d","test","Japanese",7,"B2","pass",7.60927820205688,0.999785006046295,"B2","pass"
"essay_1880787b4556d734","test","Vietnamese",6,"B1","pass",5.82085704803467,0.973540127277374,"B1","pass"
"essay_7c0e5a47acf78904","test","Spanish",8,"B2","pass",7.24817895889282,0.895722448825836,"B2","pass"
"essay_b3d6a7ae99ff6305","test","Portuguese",4,"A2","fail",4.63729476928711,0.648116588592529,"B1","pass"
"essay_aa7f045feee82e34","test","French",8,"B2","pass",8.44623470306396,0.999837875366211,"B2","pass"
"essay_bce7bca2a5c490f6","test","Portuguese",6,"B1","pass",5.62451648712158,0.999149918556213,"B1","pass"
"essay_3d3f0cd9e701b0b0","test","Portuguese",5,"B1","pass",4.47583627700806,0.133131012320518,"A2","fail"
"essay_913f2e004c109016","test","Japanese",5,"B1","pass",6.02095985412598,0.999431312084198,"B1","pass"
"essay_455f840f9c72d474","test","Persian",6,"B1","pass",5.98658847808838,0.999976634979248,"B1","pass"
"essay_ce0263d32bbb79e0","test","French",7,"B2","pass",6.65197992324829,0.0711085423827171,"B2","pass"
"essay_b8dec5ad070dca08","test","Romanian",6,"B1","pass",5.82911014556885,0.999701023101807,"B1","pass"
"essay_23615cb1d1dd30e3","test","Portuguese",9,"C1","pass",8.12697601318359,0.999850869178772,"B2","pass"
"essay_2fe09199338d2ecf","test","Hindi",7,"B2","pass",6.66273641586304,0.494716614484787,"B2","pass"
"essay_711777fc6606e7f5","test","Hindi",5,"B1","pass",4.17474460601807,0.981386363506317,"A2","fail"
"essay_330233c4ca435d30","test","Arabic",7,"B2","pass",6.35445022583008,0.997691512107849,"B1","pass"
"essay_02d394dd8a3bc478","test","Polish",5,"B1","pass",5.14850330352783,0.994322180747986,"B1","pass"
"essay_3d0619626c2f1e2b","test","Polish",7,"B2","pass",6.7864146232605,0.378080159425735,"B2","pass"
"essay_178411d93116e315","test","Japanese",5,"B1","pass",4.64154243469238,0.992064416408539,"B1","pass"
"essay_fbb8a404bf2291dd","test","Vietnamese",7,"B2","pass",7.11398887634277,0.699738800525665,"B2","pass"
"essay_a296384cb0cbb189","test","Japanese",7,"B2","pass",6.64586734771729,0.96240234375,"B2","pass"
"essay_b6db3163d5d69fee","test","German",8,"B2","pass",9.34619998931885,2.75040795694181e-10,"C1","pass"
"essay_de0d459ad84b20be","test","Vietnamese",5,"B1","pass",4.71653318405151,0.617542862892151,"B1","pass"
"essay_5a59c9761b3354bd","test","Portuguese",4,"A2","fail",5.11343097686768,0.978510499000549,"B1","pass"
"essay_374bc1e1e38c8831","test","Hindi",8,"B2","pass",8.06676483154297,0.999634981155396,"B2","pass"
"essay_4651ea834131376e","test","Spanish",5,"B1","pass",5.04292011260986,0.996720969676971,"B1","pass"
"essay_ec029b6df4c03c7c","test","Italian",7,"B2","pass",6.48403072357178,0.99248731136322,"B1","pass"
"essay_a75ca40acf5e09bb","test","Chinese",7,"B2","pass",5.7805323600769,0.999850988388062,"B1","pass"
"essay_52fccd8d52632c71","test","Chinese",4,"A2","fail",4.42405080795288,0.0229836795479059,"A2","fail"
"essay_e2550e713da0fbc7","test","Turkish",7,"B2","pass",6.72647476196289,0.301791399717331,"B2","pass"
